S&P 500 (ES|ES) E2CN6 (0.15 DTE) vs 7479 (-72.25) - Open Interest
Put: 101,378  Call: 46,140  Vol: 22.59  Vol Chg: 6.71  Future Chg: -72.25
Strike,Call,Put,Vol Settle
7380,4,548,0.2157376076793298
7385,2,89,0.21256750958855264
7390,11,326,0.20955618060543202
7395,0,152,0.2066853377618827
7400,17,1857,0.2039376214670483
7405,2,122,0.20129659355734475
7410,5,261,0.19874673918820918
7415,1,732,0.19627346564084291
7420,78,433,0.19386310284608044
7425,27,536,0.19150290344259702
7430,42,303,0.18918104196200147
7435,2,220,0.1868866163713392
7440,163,595,0.18460964647238143
7445,1,365,0.18234107445459813
7450,99,1103,0.18007276550633833
7455,6,244,0.17779750743648037
7460,106,487,0.17550900997594
7465,7,429,0.173201905854512
7470,188,637,0.1708717496949248
7475,40,853,0.16851501949713565
7480,34,481,0.1661291152704507
7485,34,537,0.16371235947008245
7490,110,259,0.16126399734639563
7495,217,509,0.15878419659566134
7500,214,2014,0.15627404730184935
7505,44,230,0.15373556193662807
7510,81,1096,0.15117167562129907
7515,103,218,0.1485862465633545
7520,201,411,0.14598405465949327
7525,107,2118,0.14337080254335888
7530,627,844,0.14075311529450119
7535,150,666,0.1381385410495568
7540,496,893,0.1355355497507844
7545,251,987,0.13295353425201029
7550,2659,1232,0.1304028099984862
7555,278,310,0.1278946145903319
7560,345,307,0.1254411083937157
7565,516,389,0.12305537404608913
7570,485,192,0.12075141732930206
7575,1731,270,0.11854416591813788
7580,989,302,0.11644946970045567
