Gold (OG|GC) G2TN6 (0.19 DTE) vs 4096.7 (+91) - Intraday Volume
Put: 1,737  Call: 1,012  Vol: 52.30  Vol Chg: 10.36  Future Chg: 91
Strike,Call,Put,Vol Settle
3955,0,10,0.4925723653032037
3960,6,39,0.48972937353755697
3965,0,35,0.48685223210304684
3970,0,38,0.48394348093279405
3975,0,251,0.481006231464562
3980,0,102,0.4780441667589912
3985,0,9,0.47506154139409773
3990,0,43,0.472063181527119
3995,0,36,0.46905448487814283
4000,10,303,0.46604142073192634
4005,1,6,0.4630305299178872
4010,6,25,0.46002892485012126
4015,3,35,0.4570442894964799
4020,22,32,0.4540848793767509
4025,17,38,0.4511595215899433
4030,100,37,0.4482776147669938
4035,36,20,0.445449129161716
4040,10,6,0.4426846065089194
4045,56,7,0.4399951601772045
4050,47,3,0.4373924750561855
4055,8,0,0.43488880760924076
4060,47,5,0.43249698585714214
4065,22,0,0.4302304093998828
4070,27,10,0.4281030493639264
4075,40,0,0.42612944848769985
4080,120,14,0.4243247210215486
4085,37,0,0.4227045528114104
4090,15,0,0.42128520125515934
4095,22,0,0.42008349531715794
4100,111,7,0.4191168355100672
4105,3,2,0.4184031939221313
4110,36,10,0.41796111418443616
4115,9,0,0.41780971154003055
4120,66,0,0.41796867272387317
4125,32,1,0.4184582560792478
4130,19,0,0.4192992915159266
4135,9,0,0.42051318046105735
4140,2,0,0.4221218959628459
4145,0,0,0.42414798257959774
4150,19,0,0.4266145564652106
4155,0,0,0.42954530532006174
4160,1,0,0.4329644884219306
4165,6,0,0.43689693657324824
4170,1,0,0.44136805219568487
4175,2,0,0
4180,0,0,0
4185,0,0,0
4190,0,0,0
4195,1,0,0
4200,12,0,0
4205,2,0,0
4210,1,0,0
4215,6,0,0
4220,3,0,0
4225,2,0,0
4230,1,0,0
4235,0,0,0
4240,0,0,0
4245,0,0,0
