Gold (OG|GC) G2MN6 (0.03 DTE) vs 4000.4 (-113.3) - Open Interest
Put: 2,966  Call: 2,543  Vol: 38.29  Vol Chg: 18.01  Future Chg: -113.3
Strike,Call,Put,Vol Settle
3960,0,6,0.22133243032749306
3965,0,4,0.21944599122980435
3970,0,4,0.21740611328823434
3975,0,13,0.21522920635561604
3980,0,7,0.21293124471958436
3985,0,6,0.21052776711167098
3990,1,9,0.20803387670730444
3995,0,5,0.20546424111307715
4000,1,420,0.20283309237311187
4005,0,11,0.2001542269699712
4010,0,1,0.1974410058301146
4015,0,4,0.19470635431298433
4020,9,126,0.19196276220282016
4025,10,57,0.18922228374412953
4030,0,49,0.18649653761985974
4035,0,23,0.18379670692866057
4040,1,31,0.18113353922217357
