WTI Crude Oil (LO|CL) NL2N6 (0.11 DTE) vs 79.5 (+1.36) - Open Interest
Put: 2,869  Call: 3,954  Vol: 89.01  Vol Chg: -7.43  Future Chg: 1.36
Strike,Call,Put,Vol Settle
76,44,47,0.8485064540947178
76.25,9,3,0.8519321939269275
76.5,16,17,0.8562874482644816
76.75,10,4,0.8615167955013021
77,30,10,0.8675661966149164
77.25,5,12,0.874382995169185
77.5,135,5,0.8819159173129947
77.75,2,6,0.8901150717827022
78,174,27,0.8989319498971327
78.25,20,1,0.9083194255653098
78.5,79,2,0.9182317552773611
78.75,3,0,0.9286245781116804
79,6,0,0.9394549157310621
79.25,2,2,0.9506811723848614
79.5,8,0,0.9622631349074027
79.75,15,1,0.9741619727184343
80,327,0,0.9863402378255159
80.25,7,1,0.9987618648176522
80.5,4,1,1.0113921708746147
80.75,0,1,1.0241978557568245
81,563,0,1.0371470018134232
81.5,385,1,1.0633549197721095
82,170,15,1.0897882352505803
82.5,124,0,1.1162413801191633
83,7,0,1.1425309076164467
